participant_id,age,role,task_type,background_noise_type,noise_volume_level,focus_duration_minutes,perceived_focus_score,task_completion_quality,mental_fatigue_after_task
1,44,Student,Writing,Traffic Noise,8,98,5,5,1
2,30,Student,Writing,Silence,9,31,3,9,7
3,23,Remote Worker,Reading,Silence,4,39,9,1,10
4,36,Professional,Writing,Songs with Lyrics,1,93,4,4,10
5,34,Remote Worker,Studying,Traffic Noise,1,94,6,3,2
6,38,Student,Writing,Instrumental Music,3,53,2,2,9
7,26,Student,Studying,Cafe Noise,5,41,6,8,1
8,26,Student,Studying,Instrumental Music,5,60,3,7,10
9,39,Student,Studying,Traffic Noise,9,55,9,9,6
10,39,Student,Coding,Silence,10,30,2,2,9
11,18,Student,Reading,Silence,2,108,9,4,1
12,37,Student,Studying,Traffic Noise,2,41,5,6,4
13,17,Professional,Studying,Silence,6,103,8,3,4
14,39,Remote Worker,Coding,Silence,9,48,2,8,9
15,45,Student,Studying,Silence,1,21,6,3,5
16,17,Professional,Writing,Cafe Noise,9,114,3,2,5
17,36,Professional,Writing,Cafe Noise,9,56,10,3,6
18,48,Remote Worker,Reading,Songs with Lyrics,9,27,5,6,1
19,27,Student,Studying,Instrumental Music,5,30,8,2,1
20,37,Remote Worker,Coding,Traffic Noise,9,22,10,8,9
21,40,Student,Writing,Traffic Noise,4,30,1,1,3
22,42,Professional,Coding,Traffic Noise,2,17,5,7,4
23,43,Professional,Coding,Songs with Lyrics,6,55,3,2,1
24,31,Professional,Writing,Cafe Noise,4,113,4,10,9
25,30,Professional,Coding,Songs with Lyrics,6,119,2,6,8
26,18,Remote Worker,Writing,Traffic Noise,3,16,9,2,2
27,22,Student,Coding,Instrumental Music,6,32,3,2,8
28,36,Student,Writing,Silence,2,117,2,10,7
29,24,Remote Worker,Studying,Cafe Noise,2,105,10,8,6
30,33,Student,Reading,Cafe Noise,9,84,9,2,1
31,19,Professional,Writing,Songs with Lyrics,7,95,7,7,7
32,40,Student,Writing,Cafe Noise,3,31,6,3,10
